"site_id","latitude","longitude","postcode"
"   598",52.41394,-1.51918,"CV"
"   599",52.19468,-1.55228,"CV"
"   600",52.36526,-1.48886,"CV"
"   601",52.39326,-1.51793,"CV"
"   602",52.28894,-1.32992,"CV"
"   603",52.37871,-1.30505,"CV"
"   604",52.36942,-1.25525,"CV"
"   605",51.75803,-1.57649,"OX"
"   606",51.76073,-1.2625,"OX"
"   607",51.99773,-1.40465,"OX"
"   608",52.07223,-1.33229,"OX"
"   609",51.66899,-0.99477,"OX"
"   610",51.65711,-0.99373,"OX"
"   611",51.58844,-0.95627,"RG"
"   613",51.6199,-1.09712,"OX"
"   615",51.54777,-0.83893,"SL"
"   616",51.88839,-1.01473,"HP"
"   617",51.66734,-0.59002,"HP"
"   618",51.79537,-0.78037,"HP"
"   619",51.99365,-0.73711,"MK"
"   620",51.68913,-0.53292,"HP"
"   621",52.63585,-1.75764,"B"
"   622",52.99856,-2.2688,"ST"
"   623",52.62512,-2.21128,"WV"
"   624",52.7168,-2.22504,"ST"
"   625",52.8859,-2.18133,"ST"
"   626",52.70167,-2.1184,"ST"
"   627",53.03974,-2.08353,"ST"
"   628",53.05541,-1.94989,"ST"
"   629",52.6064,-1.91582,"WS"
"   630",53.11527,-1.9477,"ST"
"   631",52.95698,-1.86452,"ST"
"   632",52.85783,-3.07096,"SY"
"   633",52.43312,-3.10623,"SY"
"   634",52.58961,-2.94823,"SY"
"   635",52.85611,-3.062,"SY"
"   636",52.67328,-2.88947,"SY"
"   637",52.51452,-2.82825,"SY"
"   638",52.72429,-2.84043,"SY"
"   639",52.71488,-2.79266,"SY"
"   640",52.71755,-2.71661,"SY"
"   641",52.36687,-2.7212,"SY"
"   642",52.35434,-2.71072,"SY"
"   643",52.79433,-2.66329,"SY"
"   645",52.39727,-2.58941,"DY"
"   646",52.40498,-2.47484,"DY"
"   647",52.41301,-2.48963,"DY"
"   648",52.63957,-2.49216,"TF"
"   649",52.70164,-2.48398,"TF"
"   650",52.53552,-2.42907,"WV"
"   651",52.7774,-2.42631,"TF"
"   652",52.48034,-2.36892,"WV"
"   653",52.1126,-2.30696,"WR"
"   654",52.2106,-2.22833,"WR"
"   655",52.1792,-2.18576,"WR"
"   656",52.27185,-2.15829,"WR"
"   657",52.14803,-2.03979,"WR"
"   658",52.0996,-2.05856,"WR"
"   660",52.2477,-1.93352,"B"
"   661",52.28811,-1.90909,"B"
"   663",52.43737,-2.07503,"B"
"   664",52.03068,-2.84115,"HR"
"   665",52.04419,-2.69995,"HR"
"   666",52.21264,-2.97394,"HR"
"   667",52.08588,-2.7911,"HR"
"   668",52.21394,-2.58554,"HR"
"   669",52.24259,-2.8845,"HR"
"   670",52.12089,-2.30484,"WR"
"   671",51.91075,-2.58441,"HR"
"   672",52.22409,-2.22401,"WR"
"   673",52.12419,-2.63674,"HR"
"   674",51.5055,-2.71532,"BS"
"   675",51.45216,-2.59875,"BS"
"   676",51.52144,-2.57577,"BS"
"   677",51.64658,-2.56228,"BS"
"   679",51.70486,-2.38209,"GL"
"   680",51.73986,-2.40266,"GL"
"   681",51.76729,-2.23623,"GL"
"   682",51.76188,-2.2449,"GL"
"   683",51.83914,-2.27435,"GL"
"   684",51.85725,-2.21637,"GL"
"   685",51.80727,-2.61795,"GL"
"   686",51.89055,-2.19474,"GL"
"   687",51.89429,-2.07848,"GL"
"   688",51.70846,-1.99447,"GL"
"   689",51.68907,-1.77141,"GL"
"   690",51.98601,-1.9301,"GL"
"   691",51.60647,-2.21947,"GL"
"   692",51.86026,-1.69148,"GL"
"   694",51.50531,-0.18576,"W"
"   695",51.56009,-0.17839,"NW"
"   697",51.50425,-0.12948,"SWA"
"   698",51.50164,-0.12394,"SWA"
"   699",51.52724,-0.15028,"NW"
"   701",51.54402,-0.13085,"NW"
"   702",51.5132,-0.11626,"WCB"
"   704",51.52166,-0.13898,"WP"
"   705",51.52355,-0.08844,"ECY"
"   706",51.50753,0.00889,"E"
"   707",51.47984,-0.00241,"SE"
"   708",51.47872,-0.44904,"TW"
"   709",51.54815,-0.41534,"HA"
"   710",51.61228,-0.41958,"HA"
"   711",51.41142,-0.37652,"TW"
"   712",51.59404,-0.34828,"HA"
"   713",51.61453,-0.33453,"HA"
"   714",51.64011,-0.12257,"N"
"   715",51.67947,-0.05439,"EN"
"   716",51.64516,-0.04574,"EN"
"   717",51.636,-0.03602,"N"
"   718",51.27376,-0.61644,"GU"
"   719",51.31027,-0.47478,"GU"
"   720",51.26028,-0.31896,"RH"
"   721",51.46765,-0.31397,"TW"
"   723",51.48135,-0.29276,"TW"
"   724",51.08207,-0.20951,"RH"
"   725",51.15104,-0.19111,"RH"
"   726",51.30346,-0.08994,"CR"
"   727",51.35311,-0.11565,"CR"
